Gender,Married,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,95,0,Semiurban,N
Male,Yes,187,1,Semiurban,Y
Male,No,113,1,Urban,N
Male,No,176,1,Urban,N
Male,Yes,110,1,Urban,N
Male,Yes,180,0,Semiurban,N
Male,Yes,130,,Semiurban,Y
Female,No,111,1,Semiurban,Y
Male,Yes,,1,Semiurban,Y
Female,Yes,167,1,Urban,N
Male,Yes,265,,Semiurban,N
Male,Yes,50,1,Urban,Y
Male,No,136,1,Semiurban,Y
Male,Yes,99,,Semiurban,Y
Male,Yes,104,1,Semiurban,Y
Male,No,210,1,Urban,Y
Male,Yes,175,1,Semiurban,Y
Male,Yes,131,1,Semiurban,Y
Male,Yes,188,1,Semiurban,Y
Male,Yes,81,1,Urban,Y
Male,No,122,1,Semiurban,Y
Male,No,25,1,Semiurban,Y
Male,No,,,Urban,N
Female,Yes,137,1,Semiurban,Y
Male,Yes,50,1,Semiurban,Y
Male,Yes,115,1,Semiurban,Y
Male,Yes,131,1,Semiurban,Y
Male,Yes,133,1,Urban,Y
Male,No,151,1,Semiurban,Y
Male,Yes,,1,Urban,Y
Male,Yes,,1,Semiurban,Y
Male,,160,1,Urban,Y
Male,Yes,100,1,Urban,Y
Male,Yes,225,1,Urban,Y
Male,No,120,1,Rural,N
Male,Yes,216,0,Urban,N
Male,Yes,94,1,Semiurban,Y
Male,No,136,1,Urban,Y
Female,Yes,139,1,Semiurban,Y
Male,Yes,152,0,Rural,N
Female,No,,1,Semiurban,Y
Male,No,118,1,Semiurban,Y
Male,Yes,185,1,Rural,Y
Female,Yes,154,1,Semiurban,Y
Male,Yes,85,,Urban,Y
Male,Yes,175,1,Rural,N
Female,No,259,1,Urban,Y
Male,Yes,180,1,Rural,Y
Female,No,44,1,Semiurban,Y
Female,No,137,0,Semiurban,Y
Male,Yes,81,1,Semiurban,Y
Male,Yes,194,1,Rural,Y
Female,No,93,,Rural,Y
,Yes,370,1,Rural,Y
Male,No,,1,Rural,Y
Male,Yes,160,0,Urban,N
Male,Yes,182,,Rural,N
Male,No,650,,Urban,Y
Male,No,74,1,Urban,Y
Male,No,70,1,Semiurban,Y
Male,Yes,25,1,Semiurban,Y
Male,No,102,1,Semiurban,Y
Male,Yes,290,1,Semiurban,N
Female,Yes,84,1,Rural,N
Male,Yes,88,1,Urban,Y
Male,No,242,0,Semiurban,N
Male,Yes,129,1,Rural,N
Male,Yes,185,1,Rural,N
Male,No,168,1,Urban,Y
Male,No,175,1,Semiurban,Y
Male,Yes,122,1,Semiurban,Y
Male,Yes,187,1,Urban,Y
Female,Yes,100,1,Semiurban,Y
Female,Yes,70,1,Urban,Y
Male,Yes,30,1,Urban,Y
Female,No,225,1,Rural,N
Male,Yes,125,1,Semiurban,Y
Male,No,118,0,Rural,N
Male,Yes,152,1,Rural,Y
Male,No,244,1,Urban,N
Male,Yes,113,1,Rural,N
Male,No,50,1,Urban,Y
Male,Yes,600,0,Semiurban,Y
Male,Yes,160,,Rural,Y
Male,Yes,187,1,Urban,Y
Male,No,120,1,Rural,Y
Male,Yes,255,1,Semiurban,Y
Male,Yes,98,1,Semiurban,Y
Male,Yes,275,1,Urban,N
Male,Yes,121,0,Semiurban,N
Male,Yes,158,1,Rural,Y
Male,Yes,75,1,Urban,Y
Male,Yes,182,1,Rural,Y
Female,Yes,112,1,Rural,N
Male,Yes,129,1,Rural,Y
Male,No,63,0,Semiurban,N
Male,Yes,200,1,Semiurban,Y
Male,Yes,95,1,Rural,Y
,Yes,700,1,Urban,Y
Male,Yes,81,1,Rural,N
Male,Yes,187,1,Semiurban,Y
Male,Yes,87,1,Semiurban,N
Male,Yes,116,1,Rural,Y
Male,Yes,101,1,Rural,Y
Male,Yes,495,0,Semiurban,N
Male,Yes,116,1,Semiurban,Y
Male,No,102,0,Urban,N
Male,Yes,180,0,Urban,N
Male,No,67,,Rural,N
Male,Yes,73,1,Semiurban,Y
Male,Yes,260,1,Semiurban,N
Female,Yes,108,1,Semiurban,Y
Male,Yes,120,1,Semiurban,Y
Male,Yes,66,0,Rural,N
Male,Yes,58,,Rural,Y
,Yes,168,1,Rural,Y
Male,Yes,188,1,Rural,Y
Male,No,48,1,Rural,Y
Male,No,164,1,Semiurban,N
Male,Yes,160,1,Urban,N
Male,No,76,1,Semiurban,Y
Male,No,120,1,Rural,Y
Male,Yes,170,1,Semiurban,N
Male,No,187,1,Rural,Y
Female,No,120,1,Urban,Y
Female,Yes,113,,Semiurban,Y
Male,No,83,1,Urban,N
Male,Yes,90,1,Semiurban,Y
Male,No,166,0,Semiurban,Y
Male,Yes,,1,Urban,N
Male,Yes,135,1,Urban,Y
Male,Yes,124,1,Semiurban,Y
Female,No,120,1,Semiurban,Y
Female,No,80,1,Urban,Y
Male,No,55,1,Rural,Y
Male,No,59,1,Urban,Y
Male,No,127,1,Semiurban,N
Female,No,214,1,Semiurban,N
Male,Yes,128,0,Semiurban,N
Male,Yes,240,1,Urban,Y
Male,Yes,130,1,Rural,Y
Male,Yes,137,1,Urban,Y
Male,Yes,100,1,Semiurban,Y
Male,Yes,135,1,Rural,N
Male,Yes,131,1,Semiurban,Y
Male,Yes,72,0,Semiurban,N
Female,Yes,127,,Semiurban,Y
Male,Yes,60,0,Urban,N
Male,Yes,116,1,Semiurban,Y
Male,No,144,1,Semiurban,Y
Male,Yes,175,1,Semiurban,Y
Male,Yes,128,1,Semiurban,Y
Male,Yes,170,1,Rural,N
Male,Yes,138,1,Urban,N
Male,Yes,210,1,Semiurban,Y
Male,,158,1,Semiurban,Y
Male,No,200,1,Rural,Y
Male,Yes,104,1,Semiurban,Y
Male,Yes,42,1,Rural,Y
Male,No,120,1,Rural,Y
Female,No,280,1,Semiurban,Y
Male,Yes,140,1,Semiurban,Y
Male,Yes,170,1,Rural,Y
Male,Yes,255,,Urban,N
Female,No,122,,Urban,Y
Female,No,112,1,Rural,Y
Male,Yes,96,1,Semiurban,Y
Male,Yes,120,1,Rural,Y
Male,Yes,140,1,Urban,N
Male,No,155,1,Urban,Y
Male,Yes,108,1,Rural,Y
Male,Yes,123,1,Semiurban,Y
Male,No,120,1,Urban,N
Male,Yes,112,1,Urban,Y
Male,Yes,137,1,Urban,Y
Male,Yes,123,1,Semiurban,Y
Male,Yes,90,1,Urban,Y
Male,Yes,201,0,Semiurban,N
Female,No,138,1,Urban,N
Male,No,104,1,Rural,Y
Male,Yes,279,1,Semiurban,Y
Male,No,192,0,Urban,N
Female,No,255,1,Rural,Y
Male,No,115,0,Rural,N
Male,Yes,94,1,Urban,N
Male,Yes,304,1,Rural,N
Male,Yes,128,,Semiurban,N
Male,Yes,330,,Urban,Y
Male,No,134,1,Semiurban,Y
Female,No,155,1,Semiurban,N
Female,No,120,1,Rural,Y
Male,No,128,1,Semiurban,Y
Male,No,151,1,Rural,Y
Male,Yes,150,1,Semiurban,Y
Male,Yes,160,0,Urban,Y
Female,No,135,1,Rural,N
Female,No,90,1,Urban,Y
Female,No,30,1,Urban,Y
Male,Yes,136,1,Urban,Y
Male,No,126,1,Rural,Y
Male,Yes,150,1,Semiurban,Y
Male,Yes,90,1,Semiurban,Y
Male,Yes,115,1,Semiurban,Y
Male,Yes,207,1,Semiurban,Y
Male,Yes,80,1,Urban,Y
Male,Yes,436,1,Semiurban,Y
Female,Yes,124,,Rural,Y
Male,No,158,0,Urban,N
Male,Yes,112,1,Semiurban,Y
Male,Yes,78,1,Urban,Y
Female,No,54,1,Urban,Y
Male,Yes,,1,Rural,N
Male,No,89,1,Rural,Y
Female,No,99,1,Semiurban,N
Male,Yes,120,1,Rural,Y
Female,No,115,1,Semiurban,Y
Male,No,187,1,Rural,Y
Male,Yes,139,1,Rural,Y
Male,Yes,127,0,Semiurban,N
Male,Yes,134,1,Urban,Y
Female,No,143,0,Urban,N
Male,Yes,172,1,Semiurban,Y
Male,Yes,110,1,Urban,Y
Male,Yes,200,1,Semiurban,Y
Female,Yes,135,1,Urban,Y
Female,No,151,1,Rural,N
Male,Yes,113,1,Urban,N
Male,Yes,93,0,Urban,N
Male,Yes,105,1,Semiurban,Y
Female,No,132,1,Rural,Y
Male,Yes,96,1,Urban,Y
Male,No,140,1,Rural,Y
Male,No,,1,Urban,N
Female,No,135,1,Rural,Y
Female,No,104,0,Urban,N
Male,No,480,1,Rural,N
Male,Yes,185,,Rural,Y
Female,No,84,1,Semiurban,Y
Male,No,111,1,Semiurban,Y
Female,No,56,1,Rural,Y
Male,Yes,144,,Rural,Y
,Yes,159,1,Rural,N
Male,Yes,111,1,Urban,Y
Male,Yes,120,1,Semiurban,Y
Male,Yes,88,,Urban,Y
Female,No,112,,Semiurban,Y
Male,Yes,155,1,Rural,N
Male,Yes,115,1,Semiurban,Y
Male,Yes,124,1,Semiurban,Y
Male,Yes,,1,Rural,Y
Female,No,132,,Rural,Y
Male,Yes,300,1,Rural,Y
Male,Yes,376,0,Rural,N
Male,No,130,0,Rural,Y
Male,Yes,184,1,Semiurban,Y
Female,Yes,110,1,Urban,N
Female,No,67,1,Urban,Y
Male,No,117,1,Urban,Y
Male,No,98,1,Semiurban,Y
Male,No,71,1,Urban,Y
Male,Yes,490,1,Urban,Y
,Yes,182,1,Urban,Y
Male,Yes,70,1,Semiurban,Y
Male,Yes,160,1,Rural,Y
Male,Yes,176,1,Rural,Y
Female,No,,0,Urban,N
Female,No,71,1,Semiurban,Y
Male,Yes,173,1,Rural,N
Female,No,46,1,Rural,N
Male,Yes,158,1,Urban,Y
Male,Yes,74,1,Semiurban,Y
Male,Yes,125,1,Rural,Y
Male,Yes,160,1,Semiurban,Y
Male,Yes,152,0,Rural,N
Male,Yes,126,1,Urban,Y
Male,Yes,259,,Semiurban,Y
Male,Yes,187,1,Rural,Y
Male,Yes,228,1,Semiurban,Y
Male,No,308,1,Rural,N
Male,Yes,95,1,Rural,Y
Female,Yes,105,0,Rural,N
Female,Yes,130,1,Semiurban,Y
Female,No,116,1,Urban,Y
Male,Yes,165,1,Rural,Y
Male,Yes,67,1,Urban,N
Male,Yes,100,0,Urban,N
Male,Yes,200,1,Semiurban,Y
Female,No,81,1,Semiurban,N
Male,Yes,236,1,Semiurban,Y
Male,Yes,130,1,Urban,Y
Male,Yes,95,,Urban,Y
Male,No,141,1,Rural,Y
Male,No,133,1,Rural,N
Male,No,96,1,Semiurban,N
Male,No,124,0,Rural,N
Male,Yes,175,1,Semiurban,Y
Male,Yes,570,1,Rural,N
Female,No,55,1,Semiurban,Y
Male,Yes,155,1,Semiurban,Y
Male,Yes,380,1,Rural,Y
Male,No,111,0,Urban,N
Female,No,110,1,Urban,Y
Male,Yes,120,1,Urban,Y
Male,Yes,130,1,Rural,Y
Male,Yes,130,,Semiurban,Y
Male,No,71,1,Urban,N
Male,Yes,130,1,Urban,Y
Male,Yes,128,1,Semiurban,Y
Male,No,296,1,Semiurban,Y
Female,No,156,1,Urban,Y
Male,No,128,1,Urban,Y
Male,Yes,100,1,Urban,N
Male,No,113,1,Urban,Y
Male,No,132,1,Semiurban,Y
Male,Yes,,0,Urban,N
Male,Yes,136,1,Urban,Y
Male,Yes,125,1,Rural,Y
Male,No,185,1,Rural,Y
Male,Yes,275,1,Rural,Y
Male,Yes,120,,Urban,Y
Male,Yes,113,1,Semiurban,Y
Male,Yes,113,1,Urban,Y
Male,Yes,135,,Semiurban,Y
Female,No,71,0,Urban,N
Male,Yes,95,1,Urban,Y
Male,No,109,1,Rural,Y
Female,No,103,0,Semiurban,N
Male,Yes,45,0,Urban,N
Male,No,65,1,Rural,N
Male,No,103,1,Semiurban,Y
Female,No,53,1,Semiurban,Y
Female,No,194,1,Rural,N
Female,No,115,1,Semiurban,Y
Male,Yes,115,1,Urban,Y
Female,No,66,1,Rural,Y
Male,Yes,152,0,Semiurban,N
Male,Yes,360,0,Rural,N
Female,No,62,1,Semiurban,N
Male,Yes,160,,Urban,Y
Male,Yes,218,0,Rural,N
Male,Yes,110,1,Rural,Y
Female,Yes,178,0,Semiurban,N
Female,No,60,1,Urban,Y
Female,No,160,1,Urban,N
Male,Yes,239,1,Urban,N
Male,Yes,112,1,Rural,Y
Male,Yes,138,1,Semiurban,Y
Male,Yes,138,1,Rural,Y
Female,No,80,0,Urban,N
Male,Yes,100,1,Urban,Y
Male,Yes,110,0,Urban,N
Male,Yes,96,1,Semiurban,Y
Male,Yes,121,1,Rural,Y
Female,No,81,1,Rural,N
Male,Yes,133,1,Semiurban,Y
Male,Yes,87,1,Rural,Y
Male,No,60,1,Urban,Y
Female,No,150,1,Semiurban,Y
Male,No,105,0,Rural,N
Male,No,405,1,Semiurban,Y
Male,Yes,143,1,Semiurban,Y
Male,No,100,1,Urban,Y
Female,,,1,Semiurban,Y
Male,No,50,1,Semiurban,Y
Male,Yes,,1,Urban,Y
Male,No,187,0,Urban,N
Female,Yes,138,1,Rural,Y
Male,No,187,1,Semiurban,Y
Male,Yes,180,1,Rural,Y
Male,No,148,1,Semiurban,Y
Male,No,152,1,Semiurban,Y
Male,Yes,175,,Rural,Y
Male,Yes,130,1,Rural,Y
Male,Yes,110,1,Rural,Y
Male,Yes,55,1,Rural,N
Male,Yes,150,0,Rural,N
Male,No,190,,Semiurban,N
Male,Yes,125,0,Rural,N
Male,Yes,60,,Urban,Y
Male,Yes,149,0,Rural,N
Male,Yes,90,0,Rural,Y
Male,No,84,1,Semiurban,Y
Male,Yes,96,1,Semiurban,Y
Male,Yes,118,1,Urban,Y
Male,Yes,173,1,Urban,N
Male,No,136,1,Rural,Y
Male,Yes,160,1,Semiurban,N
,Yes,160,,Semiurban,Y
Male,Yes,128,1,Urban,Y
Male,Yes,153,1,Rural,Y
Female,No,132,1,Semiurban,Y
Male,No,98,0,Semiurban,N
Male,No,140,1,Rural,Y
Male,Yes,70,0,Urban,N
,Yes,110,1,Semiurban,Y
Female,Yes,98,1,Semiurban,Y
Male,Yes,110,1,Urban,N
Male,Yes,162,1,Semiurban,Y
Male,Yes,113,0,Rural,N
Male,Yes,100,1,Semiurban,Y
Female,No,93,,Urban,Y
Male,No,162,1,Rural,Y
Male,Yes,150,1,Rural,Y
Male,Yes,230,1,Semiurban,Y
,Yes,132,0,Semiurban,N
Male,Yes,86,1,Semiurban,Y
Male,Yes,,1,Urban,N
Female,No,154,1,Rural,Y
Male,Yes,113,1,Rural,Y
Male,Yes,128,1,Semiurban,Y
Male,Yes,234,1,Semiurban,Y
Male,Yes,246,1,Semiurban,Y
Male,Yes,131,1,Rural,Y
Male,No,80,0,Rural,N
Male,Yes,500,1,Urban,N
Male,Yes,160,1,Semiurban,Y
Male,No,75,1,Urban,N
Male,No,96,,Semiurban,Y
Male,Yes,186,,Urban,Y
Male,No,110,1,Rural,Y
Female,No,225,1,Semiurban,Y
Male,Yes,119,0,Rural,N
Female,Yes,105,1,Semiurban,Y
Male,Yes,107,1,Rural,Y
Male,Yes,111,,Urban,Y
Male,Yes,95,1,Semiurban,Y
Male,No,209,0,Rural,N
Female,No,113,1,Rural,Y
Female,No,100,1,Semiurban,Y
Male,Yes,208,1,Semiurban,Y
Male,Yes,138,,Rural,N
Male,Yes,124,1,Semiurban,Y
Male,Yes,243,1,Rural,Y
Male,Yes,480,,Urban,Y
,No,96,1,Urban,N
Male,Yes,188,1,Urban,Y
Female,No,40,1,Urban,Y
Male,No,100,1,Rural,N
Male,Yes,250,1,Semiurban,Y
Male,Yes,148,1,Urban,Y
Male,Yes,70,1,Semiurban,N
Male,No,311,1,Rural,N
Male,Yes,150,1,Rural,Y
Female,Yes,113,1,Semiurban,Y
Male,Yes,123,0,Semiurban,N
Male,No,185,1,Semiurban,N
Female,No,95,1,Rural,N
Male,Yes,45,1,Semiurban,Y
Male,No,55,1,Semiurban,Y
Male,Yes,100,1,Rural,Y
Male,Yes,480,1,Rural,Y
Male,No,,1,Semiurban,N
Male,Yes,400,1,Rural,Y
Male,Yes,110,1,Semiurban,Y
Male,Yes,161,0,Semiurban,Y
Male,No,94,1,Semiurban,Y
Male,No,130,1,Semiurban,Y
Male,Yes,216,,Rural,Y
Male,Yes,100,1,Urban,Y
Male,No,110,0,Rural,N
Male,No,196,,Semiurban,N
Female,No,125,1,Urban,Y
Male,No,126,1,Rural,Y
Male,Yes,324,1,Urban,Y
Male,No,107,1,Semiurban,Y
Male,Yes,66,1,Rural,N
Male,Yes,157,1,Rural,Y
Female,Yes,140,1,Semiurban,Y
Female,No,99,0,Semiurban,N
Female,No,95,1,Semiurban,Y
Male,Yes,128,1,Urban,Y
Female,Yes,102,,Semiurban,Y
Male,Yes,155,1,Rural,Y
Male,No,80,1,Semiurban,N
Male,No,145,1,Rural,Y
Female,No,103,0,Semiurban,N
Male,Yes,110,1,Rural,Y
Male,Yes,,0,Rural,N
Male,Yes,,1,Rural,Y
Male,Yes,158,1,Urban,Y
Male,Yes,181,0,Urban,N
Male,Yes,132,0,Rural,N
Male,Yes,26,1,Semiurban,Y
Female,No,84,,Urban,Y
Male,Yes,260,1,Semiurban,Y
Male,Yes,162,1,Semiurban,Y
Female,Yes,182,1,Semiurban,Y
Male,Yes,108,1,Semiurban,Y
Female,Yes,600,1,Semiurban,Y
Male,Yes,211,1,Rural,Y
Male,No,132,1,Semiurban,Y
Male,Yes,258,0,Urban,N
Male,Yes,120,,Rural,Y
Male,No,70,1,Urban,Y
Male,Yes,123,0,Rural,N
Female,No,9,1,Urban,N
Male,Yes,104,0,Urban,N
Male,Yes,186,1,Urban,Y
Male,Yes,165,0,Urban,N
Male,Yes,275,1,Urban,Y
Male,Yes,187,1,Semiurban,N
Male,Yes,150,1,Semiurban,N
Male,Yes,108,1,Urban,Y
,Yes,136,0,Semiurban,N
Male,No,110,1,Urban,Y
Male,Yes,107,1,Rural,Y
Male,No,161,1,Urban,Y
Male,Yes,205,1,Semiurban,Y
Male,No,90,1,Urban,N
Female,Yes,36,1,Semiurban,Y
Male,Yes,61,,Rural,N
Male,Yes,146,0,Rural,N
Male,Yes,172,1,Rural,N
Male,Yes,104,1,Urban,Y
Female,No,70,1,Semiurban,Y
,No,94,1,Semiurban,Y
Male,Yes,106,0,Semiurban,N
Male,Yes,56,1,Semiurban,Y
Male,Yes,205,1,Semiurban,N
,No,292,1,Semiurban,Y
Male,Yes,142,1,Rural,Y
Male,Yes,260,1,Urban,Y
Male,No,110,1,Rural,Y
Male,Yes,187,1,Rural,N
Male,No,88,0,Semiurban,N
Male,Yes,180,1,Rural,Y
Male,Yes,192,1,Urban,Y
Female,No,350,,Urban,N
Male,Yes,155,1,Rural,Y
Male,Yes,128,1,Urban,Y
Male,No,172,1,Rural,Y
Female,Yes,496,1,Semiurban,Y
Male,Yes,,1,Urban,N
Male,Yes,173,1,Semiurban,Y
Male,Yes,157,1,Rural,Y
Male,Yes,108,1,Rural,Y
Female,No,71,1,Rural,Y
Male,Yes,40,1,Rural,Y
Male,Yes,253,1,Urban,Y
Male,Yes,187,1,Urban,Y
Female,No,133,0,Semiurban,N
